P,Q,R
-0.0027027284,-0.0018930873,0.008194336
0.0018137954,0.009222509,0.0055234567
0.020474136,0.0066910465,0.0065523116
0.014793932,0.004361832,0.016009137
-0.0010507721,0.0030706662,0.0074423803
-0.0050446717,0.034711566,-0.004665767
-0.005970722,0.0246475,-0.0008156857
-0.005167645,-0.00086596,0.007681961
0.013583054,0.014886672,0.010055653
-0.0037780253,0.0141457245,-0.0048470898
-0.008526688,0.0023152963,0.011577842
-0.005109768,0.028249055,0.002359114
-0.0001842551,0.00559026,0.005768752
0.013375458,0.01053313,0.0101523055
-0.005843139,-0.006189447,0.006591543
-0.008459811,0.004818085,0.011830099
-0.004720294,0.023650628,0.003056857
-0.00074078294,-0.0029043118,0.0063869557
0.017497458,0.0027533001,0.016832476
0.016012745,0.013455822,0.00943953
-0.004969778,-0.0031850245,0.0068394616
-0.0041115303,0.015752736,0.0021653145
-0.005598359,0.023737313,-0.010781758
-0.00032536787,0.011784029,0.005914373
0.0003534311,0.01113875,0.0076813395
-0.006464974,-0.002912616,0.0088129025
-0.0014148096,0.0064499564,0.00022788369
0.0037799666,0.020144355,0.0009174785
-0.00766056,4.906746e-05,0.009683668
0.003006759,0.0041873413,0.0071067545
0.0038622548,0.0059099924,0.005821568
-0.0008127424,0.010681667,0.0037038885
-0.0053590056,0.02655849,0.0014855479
-0.013054331,0.012798755,0.00072694564
0.00012289648,0.0013381792,0.0069826934
-0.0055077164,0.018737482,0.0041767415
0.009860765,-0.00090094266,0.010690135
0.0002598831,0.0039124,0.0007421201
-0.006357066,0.029042948,0.0029369548
-0.0012571708,0.00840078,0.006203177
-0.004300499,-0.0016545882,0.00782903
-0.000615525,-0.00048390875,0.0056857285
-0.017655315,0.015515439,-0.00019493425
0.0034071535,-0.000453332,-0.0011574366
0.01393476,0.0006417502,0.01787765
0.018680682,0.006112443,0.013676856
-0.0070082084,0.03022612,0.0036425993
-0.0056730793,0.027287126,-0.0023722046
-0.00066085905,0.013444411,0.0051233806
-0.003330378,-0.0015189857,0.013727909
0.000851242,0.0053846603,0.0049074492
-0.014040673,0.024914827,0.0013703306
-0.004121535,-0.0046329373,0.007097771
3.259176e-05,-0.0034245686,0.005362852
0.011421739,0.0015060225,0.009779686
0.014697449,-0.0007753962,0.011896251
-1.7528528e-05,0.0029137372,-0.0025104128
-0.0024501965,0.008452952,-0.0007694022
-0.009548892,0.027562039,0.00011737417
-0.006223335,0.026888626,0.00312207
0.0010615531,-0.003187963,0.005556775
-0.005272223,0.024196904,0.0029995989
-0.01194257,0.019211864,-0.007892211
-0.002882886,0.014764184,0.0028819698
0.012667432,0.00024630432,0.010008552
-0.007026928,0.00060711155,0.011446457
-0.00054919434,0.0040806686,0.009721391
-0.009135604,0.026812721,-0.0023696378
-0.002526568,0.00422042,0.01282556
-0.0045406586,0.016547875,-0.0037044038
-0.00024285198,0.0015610761,0.0033684648
0.0070536425,0.009843056,0.0053326827
-0.011147818,0.03053253,-0.008249016
-0.0020437182,0.0049739922,0.009682815
0.013405094,-0.00037374315,0.012830878
0.014273696,0.0054970314,0.011483458
-0.0029935292,-0.004923811,0.008119455
-0.005323983,-0.0039952523,0.005556021
-0.0017314226,0.0053764787,0.008026982
-0.0116055785,0.023896579,-0.0024725425
-0.0037229795,-0.0016122459,0.0065616365
-0.0064037335,0.022851547,-0.009749203
-0.00043494237,0.010733883,0.0036549608
0.0032807437,-0.0026542011,-0.0008839053
-0.0006217875,0.010330278,0.0051514814
0.015510294,0.010529276,0.010300199
-0.0068974462,0.019648166,-0.007973132
-0.008143429,0.02665472,-0.0066910344
