P,Q,R
-0.0048851767,0.0071310177,0.005545294
0.008450602,0.0071981633,0.0015804474
0.008445989,0.0064734765,-5.698297e-05
-0.002471485,0.011175065,0.0032370593
0.016050192,0.0043215137,0.00064755906
0.007198303,0.004748704,0.0016850007
-0.0055280384,0.009103072,0.005375806
-0.0013060732,0.008865491,0.002528991
0.009394424,0.0050712735,0.0019316762
0.011219046,0.0014490663,0.00013465807
-0.0034282806,0.006354333,0.007640429
-0.0025746154,0.010553844,0.005244718
0.0063994913,0.009266624,0.0010767425
-0.0040951055,0.010035009,0.003992404
-0.0030218803,0.01075467,0.002756923
-0.0005701016,0.011424107,0.0012274226
0.013830011,0.0060134544,0.0011498814
-0.0006194973,0.011264961,0.0016238424
0.018566092,0.005917468,-0.00016592396
-0.0035713222,0.008865542,0.0039026125
0.016641058,0.0031468566,-0.00032775477
-0.0002007186,0.008670626,0.0032502627
0.012872728,0.007145295,0.0017592132
-0.0052683814,0.008708357,0.0062529854
0.0057945033,0.010710509,0.0019326285
-0.002275434,0.0040074866,0.011129297
-0.0029928063,0.00809206,0.01129294
-0.005369629,0.010116005,0.004625708
0.005969768,0.0041776397,0.0045654178
-0.00071873487,0.008803223,0.0025878502
-0.0023780128,0.008083214,0.005195311
0.009726304,0.0032471737,0.0010353241
-0.0017045347,0.009523637,0.0025422834
0.008930623,0.010486649,0.0018798243
-0.004340318,0.009086562,0.003960002
-0.0048070606,0.010170208,0.003187087
-0.0032300048,0.0063476083,0.0042893295
0.020130021,0.0016093747,-6.430899e-05
-0.004648069,0.006999663,0.0053254794
-0.0017284162,0.008014258,0.0022285269
0.0005652846,0.0073802806,0.0032982377
-5.047193e-05,0.0024892301,0.005977853
0.017304871,0.0025629194,-0.0012923364
0.016804634,0.0032995522,-3.0534808e-05
-0.0002364024,0.006966126,0.005491413
-0.00058594596,0.010628242,0.0019416548
-0.0025459542,0.010899585,0.004724009
-0.0053533996,0.009140522,0.005480461
0.0063143363,0.0063986457,-0.0012207469
0.008423266,0.0054805665,0.0007515596
0.011430859,0.006184551,0.0010003981
0.0067378334,0.0062974733,0.0024753083
0.019882372,0.0042799236,-0.0004381102
0.009394707,0.0075727124,0.0018472103
-0.0036679043,0.008761969,0.0051403055
-0.00047726184,0.010544101,0.0024314467
-0.0026646212,0.006542576,0.0037213732
-0.00024317387,0.011664655,0.0031402828
0.00042318305,0.008717112,0.0046474375
0.017095352,0.0021345764,-0.00025741628
-0.0015099816,0.010359536,0.0047815847
-0.00016941465,0.008375559,0.002408845
0.013900533,0.0034616224,0.00073765335
-0.0047113025,0.0061807586,0.004984932
-0.0047899303,0.007815202,0.00540653
-0.004312784,0.009921674,0.005199327
-0.0013477429,0.01171354,0.0041716048
-0.0056920582,0.009666762,0.005779973
0.009117075,0.009483991,0.0008818265
-0.0034428963,0.008485399,0.004320721
-0.0013603454,0.010350443,0.0030436981
0.005637617,0.010882185,0.0017532324
0.0024742794,0.011051013,0.0027001086
-0.005921562,0.009004531,0.0051161577
0.012141647,0.0035806866,-0.0009867784
0.0019622378,0.0103265615,0.0028784662
-0.0047259307,0.010074267,0.0031741965
-0.0045046057,0.007066125,0.0059752003
-0.0032500506,0.008865319,0.004805395
0.0035116482,0.00800653,0.003327627
0.0111215385,0.0047986154,0.00070492225
0.008188519,0.0058946284,0.00078913034
-0.00042677025,0.008527348,0.0021906802
-0.0012597714,0.007546793,0.0020608997
-0.004899418,0.009434997,0.0027664886
-0.0035756708,0.010667258,0.0018926286
-0.0024670458,0.012092403,0.0045459964
0.0077521456,0.010114352,0.0017269114
0.014391482,0.0074317264,0.0012339656
-0.0017286841,0.011042167,0.004311353
-0.0039077844,0.0113563705,0.0064110043
-0.0020319663,0.012106308,0.001446357
-0.003660058,0.010202301,0.0048422134
-0.0013975721,0.009200863,0.0034394567
-0.00017592576,0.0065107727,0.0035911468
0.0065750256,0.0063623483,0.001926111
0.00334899,0.009119129,0.00068553584
-0.0008180435,0.0068214796,0.0033896284
0.0067469073,0.0055995556,2.184743e-05
-0.0030746947,0.009141668,0.0029407572
-0.0026223336,0.0076630483,0.0033634084
0.00389101,0.007861743,0.0021133074
0.006765436,0.006441252,0.0029779112
-0.00078750704,0.008314673,0.002454259
