P,Q,R
-0.00043533143,-0.0009850032,-0.0033877934
-0.002676435,0.022872167,-0.007338137
-0.006740324,0.030076291,-0.0047889883
0.0016628484,-0.00029189058,-0.0022150425
-0.00032566674,0.00018055689,0.004324145
-0.0022415952,0.022405306,-0.0005472828
-0.0033549767,-0.0018216303,0.0080792615
0.005604882,-0.0034674767,0.015453106
-0.014967909,0.017975843,-0.0024221824
-0.0005197614,-0.002034328,0.004028791
-0.015832452,0.025343275,-0.0020268802
-0.0022176204,0.005114267,0.010652923
0.0041186516,0.012598433,0.0062145335
-0.00087590044,0.012700175,0.0037107398
-0.00046482417,-0.0003355004,-0.0022061777
-0.0050112847,0.0094687715,-0.0036798473
-0.0048105363,0.00063629186,0.010862324
0.0034209914,-0.008354402,0.0016061414
-0.0022160006,0.00065623136,-0.00070253003
0.00014649147,-0.0012349493,-0.0110950265
-0.001803917,-0.0026705286,0.0022532663
0.0064138183,0.0028306548,0.0062336656
0.00026033982,0.0015997165,-0.006487755
-0.005355509,-0.003171328,0.0018247238
0.00381596,-0.002552067,0.0023911141
-0.0029434047,0.009547952,0.0038335696
0.0025118105,0.00027177506,8.994605e-05
-0.013990105,-0.001074321,0.006758222
-0.017756404,0.02047034,-0.0019404003
0.011786317,0.0074989838,0.0011743883
-0.010911309,0.0052769864,-0.0009779545
-0.010521638,0.012740654,4.405716e-05
-0.008266349,0.0043994472,-0.00094424153
-0.008013278,0.0134068895,-0.0041820216
-0.016187312,0.020827608,-0.00035547314
0.005286167,0.007668015,0.008129955
-0.0004116904,0.015350488,0.003977187
-0.0009288761,0.011037041,0.0036017622
0.00096457155,-0.0019819313,-0.006605831
0.0047464506,0.01417912,0.002481215
-0.0007003905,-0.0046366653,0.0023484225
0.00011435826,0.004316232,0.006998148
0.00022057169,0.0037346666,-0.0069280653
0.012529778,0.002141467,0.0062142927
-0.0048974343,0.00053138647,0.0015505868
-0.0064844107,0.015834503,-0.0019523926
0.0039054512,0.0032055634,0.029376816
0.00055747194,-0.002228638,-0.00734648
-0.00092778,0.015509992,-0.0021817514
0.00014620907,0.0007354832,0.007553634
-0.009967361,0.021562703,0.0005552938
-0.0029544432,-0.002554675,0.003973
-0.0053447955,0.0017326764,0.0073028733
-0.005190435,0.009621081,0.0060028387
-0.007687515,0.009763499,0.0042480757
0.006283579,0.008522093,0.00551445
0.00017649341,0.006214713,0.0037055616
-0.00010990489,-0.005731182,0.0023465236
0.009695196,0.005109071,0.0037252756
0.0009425537,-0.0013291078,-0.01101833
0.0011044289,0.008197377,-0.0037681258
-0.005653808,0.008687021,0.0012180005
0.007169736,-0.0068819625,0.003983595
0.00913503,-0.0022423493,0.006238979
0.0011785667,0.01639009,0.0033609574
0.0005408311,0.014569972,0.0041881264
-0.00040925838,0.0045768614,0.0046856776
-0.005095136,0.019889614,-0.004811623
0.0020527001,0.018165031,0.0044831214
-0.00071335974,0.00041312823,-0.0023171855
-0.0053723743,0.027433464,-0.0074205985
0.0063690282,0.007394163,0.011681134
0.0071239765,0.0097316075,0.011157367
0.0008380183,-0.0039025287,-0.0037409177
0.00041766115,-0.006690519,0.0040958165
0.004371525,0.009582353,0.0060226084
-0.0027114425,0.0024036563,0.017738232
-0.00018270576,-8.041175e-06,-0.019021066
-9.030968e-05,0.0046844496,0.002208965
0.0049173688,0.0069941347,0.005573104
-0.0021580285,0.012464681,0.0054168366
-0.0004930263,0.0128803095,0.0015982393
-0.011592847,0.01683173,-0.0029564747
0.00053399324,0.0076338635,0.006305302
-0.0032547668,0.013929644,9.248952e-05
-0.00048414554,-0.00075256696,0.015998377
-0.00024509747,0.0122581385,0.0054166545
0.002638457,0.012317627,0.003833938
-0.01481139,0.011204945,0.016432712
0.0043513905,0.0012817046,-0.002755723
-0.008663442,0.010949305,0.0017592394
-0.004216036,0.011845771,-0.0108032925
-0.0043478464,0.021868803,-0.004228435
-0.0013472439,-0.00062838604,-0.0132693695
0.010568809,0.009291881,0.0020084174
0.00094404136,0.005009038,-0.006926145
-0.0148479035,0.008668789,-0.004457683
0.0010067278,0.006003156,-0.0006719045
0.0010263441,0.014531191,0.0032466706
0.004504083,-0.0025396026,0.011040559
-0.013197433,0.020640207,-0.0020755595
-0.0024024725,0.014285744,0.004445267
0.0043591945,0.0068335566,0.001795906
-0.00056108914,0.0010726617,0.011189621
0.0025706987,0.011160573,0.0038467932
0.007618385,0.0063983714,0.0064797136
-0.0033453163,0.014673474,9.485417e-05
0.00072606665,-0.004103477,0.0032758939
0.0022418704,0.012359477,0.00525116
0.0019072918,-0.0006473303,0.00907793
0.0003060554,0.008525293,-1.7768816e-05
-0.004157307,-0.0066517675,0.0031827623
-0.005279469,-0.0029435414,0.0031322357
0.005992428,0.0070701023,0.0099536
-0.00012571776,0.00063468935,0.01137352
0.0005596178,-0.003215032,-0.005230327
-0.0075914725,0.010404579,0.0033633905
0.0005100355,0.0036246444,-0.0024637128
-0.0057302136,0.00035448952,0.0005176777
0.00020023598,0.0020319738,-0.01796408
-0.0051964615,0.00064889627,0.0058711283
-0.0057174196,0.009808926,-0.006155209
-0.0038279362,0.009410051,-0.0029226758
0.0011408272,0.013737784,0.00026476043
-0.005053032,0.017062385,0.011139641
-0.0084729,0.0060731545,0.00254301
-0.003708581,0.023534099,0.0038416006
-0.0014062534,0.011153966,-0.0010209444
-0.008622338,0.0042822575,-0.00093946134
0.00053843047,-0.0012303793,0.0012120991
0.0068741036,0.0013392476,0.006887565
0.000751719,0.0038082972,-0.0046171793
-0.00082564057,-0.0027497958,0.008339578
0.0045405906,-0.0020296467,0.014787462
0.0012489386,-0.0011500083,-0.0020217185
0.0023053652,0.0028418675,0.006065001
-0.00014093365,0.0035161758,-0.00320531
-0.0069526457,0.02391932,-0.003380427
0.0008624542,-0.0016920265,-0.0006214184
0.0077986266,0.008382331,0.011318147
0.0057592113,-0.0029345679,0.008792097
0.00046645108,0.015841605,-0.007984309
0.0085945595,-0.006533512,-0.007068529
-0.0007013035,0.000549936,0.0153241735
-0.0016719806,0.011803866,0.0046732277
0.0026670638,0.01785824,0.004835669
-0.005600243,0.016338192,0.0005407226
0.0008583063,-0.0066758757,0.0044282707
0.0065161334,0.002262422,0.0072838385
-0.0038575928,0.014599045,0.007016757
0.0037059088,0.0031062788,0.0005453288
-0.0009014527,0.010122482,-0.004539163
-0.0024523993,0.0071877693,0.0013536352
0.0054720878,-0.0006948179,0.0032827773
0.0041677402,0.007993929,-0.00034303532
-0.004588857,0.013993915,0.00085423276
0.0021995339,0.0017056897,-0.00020667873
0.0068848017,0.009408895,0.009653361
0.0005054546,0.013618919,-0.003940162
-0.0008608873,0.002334618,0.006555229
0.00042491828,0.0012789572,0.0028307335
0.001324953,0.01649025,0.0037721985
0.009740112,0.0030575867,0.009999611
0.006679757,0.007175697,0.005362644
0.0050294483,0.0071925833,0.0059762252
0.006012028,0.0012375609,0.0075659323
0.0013239359,-0.003541598,-0.0019468474
0.0064764353,0.002028395,0.009216908
-0.010655455,0.014448249,-0.0007934682
0.0058873417,-0.0036100228,0.0139858285
0.0011899855,0.0007228153,0.005264816
-0.002537216,-0.0023179268,-0.009587288
0.00039723585,0.00065746176,0.0033999453
0.0021399104,0.024539527,-0.009035873
-0.0064830654,0.02015276,-0.004918532
-0.010368281,0.021928763,0.0017661965
-0.004373895,0.012365275,-0.0011170922
-0.0042830966,0.012869138,-0.008684162
-0.01581429,0.014974239,-0.0025101788
0.0037640284,-0.0017579576,0.016704908
0.0009470546,-0.0018529409,0.00042270814
0.0021628197,0.015088246,-0.0025083062
-0.0011383158,0.00028571254,-0.008284033
0.0003784243,-0.002997051,0.0008393722
0.0010681407,-0.002570234,0.0056865374
0.011970183,-0.005094514,0.032694068
0.0017713062,-0.009865404,0.028790496
-0.013414104,0.0120929675,-0.0011898074
-0.013022571,0.021938358,0.0028502643
-0.0038048194,0.009641459,0.013635188
0.0016925087,0.021159196,-0.0010286678
-0.0069296453,0.005465124,0.0074741645
-0.00034871927,0.023049034,-0.00184249
-0.009596279,-0.00074036553,-0.0021883727
-0.002519113,0.012142906,0.0010014519
0.0068847686,0.012130927,0.0027062867
-0.0062120147,0.01048359,-0.006400029
0.0007009757,0.017450739,0.0046178955
0.00602889,0.006171642,0.005012839
-0.0026104455,-0.003850828,0.005152009
-0.0011764407,-0.0017026274,-0.002791722
-0.016882176,0.025750825,-0.0034720204
-0.008945803,0.011845284,-0.0030274317
0.0002933649,0.009144117,0.0015817289
0.0050158864,0.007844992,0.0083714025
-0.008097899,0.016087756,-0.0068871644
-0.0033400182,0.010302017,-0.0028369094
-0.00025274567,0.010338267,0.0064445445
-0.007636596,-0.00047640587,0.0073595494
0.004423247,0.005429766,0.0075923167
-0.019578777,0.034926616,-0.0054726675
-0.0055613746,0.011993819,0.009770788
0.0047346028,0.013674334,0.002457533
0.013703983,0.0006916847,0.009031213
0.0019557176,0.0038113499,-0.004383081
0.0052649686,0.010469442,0.0028644095
0.010437662,-0.012607814,0.0068242545
0.0010706631,0.00893232,-0.0045599844
-0.002885308,0.019360198,-0.0009054513
0.0014013061,0.020048156,0.00090821134
0.0061302497,0.009171588,0.004591568
0.0133427465,0.008805192,0.00012568623
-0.0041504297,-0.0042234203,0.002874852
-3.3038155e-05,-0.0016934872,0.013193833
-0.0010381486,0.00920225,-0.006702162
0.0046260124,0.013748682,0.0026214793
0.00039814305,0.0062468373,0.004781147
0.0004449762,0.012004956,-0.00049218046
-0.009143584,-0.0018511531,0.0045265458
0.002142583,-0.0018491776,0.004949755
0.010828581,0.0033637283,0.0023965319
