asia,tub,smoke,lung,bronc,either,xray
0.00914363,0.17141056,0.052267194,0.18995324,0.20650959,0.18136942,0.09602909
0.084563605,-0.13790803,-0.12517981,-0.06723331,-0.007957153,-0.07697284,-0.020106912
0.05729175,-0.120706365,-0.13920674,-0.0784903,0.0066177025,-0.06470409,-0.021683171
-0.0094506545,0.056236506,0.003980089,0.0732849,0.05196942,0.15707801,-0.0009487085
-0.04943811,0.034882188,0.029904775,0.2445226,0.3146654,0.13808697,0.18233141
-0.009105876,0.06526199,-0.0017163008,0.24144611,0.22042082,0.12614918,0.18619394
0.050673362,-0.114118636,-0.11378215,-0.1196253,-0.048938405,-0.14235415,-0.057815786
0.08343716,-0.14329734,-0.0351234,-0.1093023,-0.061700433,-0.09314591,-0.0822344
-0.016923845,0.084100336,-0.0044497102,0.24473241,0.25592792,0.13483313,0.15112633
0.039825853,-0.04369527,-0.043229237,-0.07625688,-0.053643867,-0.16138689,-0.037510104
-0.008431648,0.07448003,0.033587366,0.26624155,0.29314083,0.10846686,0.16315088
-0.057094313,0.10893208,0.043362252,0.29554313,0.22722885,0.16172753,0.13411784
0.014621418,-0.11097363,-0.06457988,-0.107690796,-0.09384202,-0.11635793,-0.03956186
0.05693267,-0.04457736,-0.0032691546,-0.09910293,-0.053723894,-0.13228996,-0.039424464
0.006230869,-0.03081368,-0.0024234913,-0.058305673,-0.007864591,-0.11482052,-0.020186098
-0.063911825,0.24008551,0.04958503,0.21770048,0.16199163,0.088401645,0.13987616
-0.072121285,0.050573014,0.03595243,0.10189217,0.00035321712,0.087141395,0.030136272
0.050579432,-0.13543868,-0.031948537,-0.20127729,-0.15496029,-0.13736404,-0.089099035
0.035896003,-0.034663223,-0.005245192,-0.079121485,-0.020290699,-0.0684088,-0.00928447
-0.034077384,0.08500075,0.03967485,0.24419272,0.22664908,0.14665963,0.13490725
-0.027400611,0.03481552,0.013515033,0.16691944,0.3489839,0.14292228,0.25532827
-0.032646675,0.0910086,-0.008156106,0.22845016,0.26795796,0.1375156,0.1814232
0.021053692,-0.06925148,-0.040277705,-0.2719975,-0.26538488,-0.111862764,-0.17242375
